age,annual_income,credit_score,employment_type,loan_amount,monthly_existing_emis,loan_purpose,loan_tenure_months,years_in_current_job,total_work_experience,existing_loan_count,residential_status,number_of_dependents,city_tier,education_level,marital_status,bank_account_vintage_months,risk_score,approval_status,dti_ratio,loan_to_income_ratio
30,1252078,631,Government,1734383,23657,Medical,60,7.8,7.8,2,Owned,0,Metro,Post-Graduate,Divorced,55,57.16,MANUAL_REVIEW,58.4,1.39
37,1055758,670,Salaried,7955888,0,Home,360,6.6,7.3,0,Owned,1,Metro,Graduate,Married,13,48.66,MANUAL_REVIEW,82.72,7.54
21,1050383,743,Self-Employed,7868598,11581,Home,180,0.0,0.0,3,Owned,1,Tier-3,Graduate,Single,172,44.9,MANUAL_REVIEW,112.6,7.49
21,548963,516,Salaried,1333718,17001,Personal,24,0.0,0.0,1,Rented,0,Metro,Graduate,Single,196,27.6,REJECTED,172.37,2.43
29,644250,596,Government,4277460,16201,Home,300,1.6,1.6,4,Owned,0,Tier-1,Graduate,Divorced,83,28.42,REJECTED,105.4,6.64
24,947981,782,Salaried,2644984,0,Personal,12,1.7,1.7,0,Rented,1,Tier-1,Post-Graduate,Married,140,60.74,MANUAL_REVIEW,295.13,2.79
38,659040,720,Salaried,1235665,0,Personal,60,1.7,1.7,0,Rented,3,Tier-3,Graduate,Married,13,62.54,MANUAL_REVIEW,48.36,1.87
25,563321,695,Self-Employed,1119990,11309,Personal,48,3.2,3.2,1,Family-Owned,4,Tier-2,Graduate,Married,42,49.34,MANUAL_REVIEW,85.18,1.99
21,826691,689,Government,6995575,18660,Home,240,0.0,0.0,1,Owned,2,Tier-1,Post-Graduate,Divorced,123,40.2,REJECTED,128.47,8.46
49,909001,561,Government,1605776,12419,Medical,12,10.5,15.2,1,Family-Owned,1,Tier-3,Graduate,Single,59,46.8,MANUAL_REVIEW,203.26,1.77
32,1616981,735,Self-Employed,10000000,34922,Home,180,0.4,0.4,1,Owned,4,Tier-2,Graduate,Married,69,45.08,MANUAL_REVIEW,107.95,6.18
35,1337673,618,Self-Employed,1558902,36095,Personal,36,3.9,3.9,1,Company-Provided,5,Tier-3,Graduate,Divorced,205,41.98,MANUAL_REVIEW,77.83,1.17
21,848033,688,Salaried,902928,18381,Medical,60,0.0,0.0,3,Rented,1,Tier-3,High-School,Married,174,48.7,MANUAL_REVIEW,53.47,1.06
29,300000,603,Self-Employed,376930,0,Education,120,2.7,4.2,0,Owned,2,Metro,Graduate,Single,89,61.74,MANUAL_REVIEW,20.34,1.26
36,1343853,824,Salaried,6810846,27347,Home,360,0.5,1.5,1,Company-Provided,1,Metro,High-School,Divorced,51,55.4,MANUAL_REVIEW,80.05,5.07
23,553458,519,Self-Employed,3869617,11009,Home,360,1.7,1.7,1,Owned,3,Tier-2,Post-Graduate,Single,101,23.54,REJECTED,100.62,6.99
38,803704,607,Salaried,1735320,22000,Vehicle,36,3.4,14.5,2,Rented,1,Tier-1,Graduate,Single,31,47.5,MANUAL_REVIEW,117.06,2.16
28,1896970,770,Salaried,10000000,0,Business,60,1.1,1.1,0,Rented,0,Tier-3,Graduate,Single,107,51.82,MANUAL_REVIEW,135.97,5.27
32,1098677,658,Salaried,720570,29847,Medical,24,2.2,7.6,1,Rented,2,Metro,Post-Graduate,Single,84,55.82,MANUAL_REVIEW,69.1,0.66
28,300000,645,Salaried,433237,8125,Personal,36,4.9,4.9,1,Family-Owned,0,Tier-1,Professional,Married,165,45.28,MANUAL_REVIEW,88.83,1.44
53,300000,741,Freelancer,845571,4346,Education,120,3.6,12.7,4,Family-Owned,1,Tier-1,Post-Graduate,Single,180,59.24,MANUAL_REVIEW,63.02,2.82
34,793041,653,Salaried,6315250,18859,Home,180,2.0,2.0,2,Rented,2,Tier-1,High-School,Married,53,42.4,MANUAL_REVIEW,134.17,7.96
24,518963,595,Self-Employed,940898,0,Medical,48,0.4,0.4,0,Company-Provided,3,Metro,Graduate,Married,15,32.98,REJECTED,55.7,1.81
43,1877878,653,Self-Employed,5506041,52216,Personal,48,8.2,16.3,1,Family-Owned,2,Metro,High-School,Single,209,52.2,MANUAL_REVIEW,123.45,2.93
22,755630,548,Salaried,2793566,16911,Education,60,0.2,0.2,2,Rented,2,Metro,High-School,Married,32,28.34,REJECTED,122.21,3.7
37,1541746,767,Self-Employed,2900623,42872,Personal,12,7.7,9.7,1,Owned,2,Tier-2,High-School,Married,18,67.64,MANUAL_REVIEW,232.38,1.88
21,715988,736,Salaried,5891511,21260,Home,240,0.0,0.0,1,Rented,0,Tier-1,Graduate,Married,129,45.9,MANUAL_REVIEW,134.21,8.23
21,2281036,658,Self-Employed,4273470,28924,Education,120,0.0,0.0,1,Owned,3,Metro,Graduate,Single,15,57.6,MANUAL_REVIEW,45.55,1.87
36,3232101,665,Salaried,3342136,51687,Personal,36,3.3,14.6,1,Owned,2,Tier-2,Graduate,Single,62,59.12,MANUAL_REVIEW,59.52,1.03
42,970759,792,Salaried,3286488,0,Home,180,5.0,13.6,0,Rented,3,Tier-3,Post-Graduate,Married,147,80.42,APPROVED,44.91,3.39
36,1347753,709,Salaried,6319802,31491,Home,180,4.7,4.7,2,Owned,4,Metro,Post-Graduate,Married,210,60.94,MANUAL_REVIEW,90.24,4.69
33,1299180,780,Salaried,1271684,20235,Personal,48,7.6,10.2,1,Owned,4,Tier-2,Graduate,Married,25,80.44,APPROVED,48.76,0.98
31,892571,624,Salaried,2397063,0,Personal,24,1.5,3.1,0,Rented,4,Metro,Post-Graduate,Single,157,37.92,REJECTED,149.46,2.69
21,575573,683,Salaried,3700615,18342,Home,360,0.0,0.0,1,Owned,1,Tier-3,Graduate,Married,149,37.3,REJECTED,108.82,6.43
27,443564,722,Self-Employed,3848494,5849,Home,360,2.9,2.9,1,Rented,3,Tier-3,Graduate,Married,95,47.78,MANUAL_REVIEW,111.06,8.68
30,300000,793,Salaried,718446,0,Vehicle,60,7.4,8.6,0,Company-Provided,4,Metro,Post-Graduate,Widowed,202,70.72,MANUAL_REVIEW,61.77,2.39
45,1153435,562,Salaried,10000000,19904,Home,300,0.7,4.4,2,Owned,2,Tier-2,Graduate,Single,192,24.38,REJECTED,118.94,8.67
38,624807,841,Salaried,5973247,20737,Home,240,0.2,0.2,2,Rented,2,Metro,Graduate,Married,227,52.84,MANUAL_REVIEW,154.36,9.56
21,300000,777,Salaried,961907,3918,Education,120,0.0,0.0,1,Company-Provided,3,Tier-3,High-School,Single,179,57.3,MANUAL_REVIEW,67.59,3.21
38,1337403,709,Government,8149943,26151,Home,240,1.7,1.7,2,Rented,1,Tier-1,Graduate,Single,155,51.24,MANUAL_REVIEW,96.47,6.09
31,1121332,716,Self-Employed,2417331,18140,Personal,36,0.7,7.3,1,Owned,0,Tier-1,Post-Graduate,Married,44,52.36,MANUAL_REVIEW,103.49,2.16
28,1400750,622,Freelancer,2441640,0,Medical,24,1.9,1.9,0,Rented,1,Tier-2,Post-Graduate,Single,50,37.98,REJECTED,97.01,1.74
41,1094923,738,Salaried,3049212,31291,Personal,60,0.6,12.8,1,Family-Owned,4,Metro,High-School,Married,227,53.66,MANUAL_REVIEW,106.12,2.78
45,312873,569,Government,2275043,0,Business,180,8.2,16.0,0,Rented,0,Tier-1,Graduate,Single,222,31.9,REJECTED,96.45,7.27
44,300000,675,Salaried,486854,4781,Medical,36,0.9,15.8,2,Owned,1,Metro,Graduate,Divorced,151,49.9,MANUAL_REVIEW,82.42,1.62
26,646592,683,Salaried,4383683,7997,Home,180,4.2,4.2,1,Owned,2,Tier-2,Professional,Single,233,46.34,MANUAL_REVIEW,104.77,6.78
31,716841,752,Salaried,2102910,22696,Personal,24,1.5,1.5,2,Rented,2,Tier-2,Graduate,Single,142,60.1,MANUAL_REVIEW,201.25,2.93
38,2479765,691,Self-Employed,7223834,40341,Personal,24,0.9,0.9,1,Rented,3,Tier-3,Graduate,Married,23,41.58,MANUAL_REVIEW,181.64,2.91
44,892419,571,Salaried,2264199,23985,Education,84,0.7,0.7,2,Owned,1,Tier-1,High-School,Married,197,33.04,REJECTED,83.59,2.54
30,1726662,824,Self-Employed,9765061,26931,Business,120,0.9,0.9,2,Company-Provided,1,Tier-2,Graduate,Single,156,46.08,MANUAL_REVIEW,110.29,5.66
33,368954,702,Salaried,2397703,0,Business,180,3.6,4.6,0,Owned,3,Metro,Post-Graduate,Married,145,48.12,MANUAL_REVIEW,86.2,6.5
23,1327703,655,Salaried,3203244,0,Education,60,1.9,1.9,0,Rented,3,Tier-2,Post-Graduate,Married,80,50.78,MANUAL_REVIEW,62.23,2.41
23,1490705,702,Salaried,10000000,19077,Home,240,0.7,0.7,3,Owned,1,Metro,Graduate,Married,6,46.44,MANUAL_REVIEW,95.73,6.71
43,413575,782,Government,1563391,11742,Home,300,7.9,10.0,1,Family-Owned,1,Metro,Post-Graduate,Single,198,76.2,APPROVED,76.9,3.78
48,2662968,731,Salaried,6783178,25891,Education,84,0.6,22.0,1,Company-Provided,2,Tier-2,Graduate,Divorced,10,59.2,MANUAL_REVIEW,63.2,2.55
34,958958,641,Self-Employed,6116509,0,Home,240,3.2,11.9,0,Owned,2,Tier-1,Professional,Married,32,37.68,REJECTED,76.42,6.38
45,1487641,729,Salaried,8694442,24743,Business,84,3.9,23.3,1,Owned,3,Tier-1,Post-Graduate,Single,204,52.8,MANUAL_REVIEW,138.21,5.84
38,391093,692,Self-Employed,596790,0,Education,84,9.1,14.0,0,Rented,2,Tier-3,High-School,Married,61,70.2,MANUAL_REVIEW,30.87,1.53
28,2180731,706,Salaried,2435313,60701,Personal,12,2.9,3.5,2,Rented,2,Tier-2,Graduate,Single,215,58.9,MANUAL_REVIEW,151.53,1.12
38,418943,794,Salaried,1559165,0,Education,84,3.9,3.9,0,Owned,1,Tier-1,Post-Graduate,Single,66,67.08,MANUAL_REVIEW,75.3,3.72
50,1550204,773,Salaried,5959980,32766,Business,84,6.8,17.4,1,Company-Provided,0,Tier-1,Graduate,Married,24,65.8,MANUAL_REVIEW,103.15,3.84
34,1348606,656,Salaried,1426408,0,Medical,12,2.6,2.6,0,Rented,4,Tier-3,Professional,Married,171,52.22,MANUAL_REVIEW,111.88,1.06
50,786703,586,Salaried,4978668,20118,Business,60,1.6,1.6,1,Owned,2,Tier-1,Post-Graduate,Divorced,137,20.12,REJECTED,193.92,6.33
21,2014075,647,Government,3567549,20148,Personal,24,0.0,0.0,3,Rented,0,Tier-3,Post-Graduate,Widowed,227,39.3,REJECTED,110.58,1.77
43,1022506,768,Salaried,9029204,0,Home,180,2.6,10.7,0,Rented,1,Metro,High-School,Married,46,60.04,MANUAL_REVIEW,117.13,8.83
35,1920410,663,Government,4463248,0,Education,60,7.1,7.1,0,Rented,2,Tier-1,High-School,Married,10,64.32,MANUAL_REVIEW,59.95,2.32
32,388640,618,Government,1294046,10523,Education,60,3.8,6.7,1,Rented,1,Tier-1,Post-Graduate,Married,172,47.44,MANUAL_REVIEW,118.37,3.33
35,2962862,796,Salaried,4945883,37426,Vehicle,36,1.6,6.3,2,Rented,0,Tier-2,Post-Graduate,Single,174,67.56,MANUAL_REVIEW,80.27,1.67
21,349852,755,Salaried,1002409,9988,Personal,36,0.0,0.0,4,Rented,2,Tier-2,High-School,Single,152,56.4,MANUAL_REVIEW,146.01,2.87
32,1647224,496,Self-Employed,2614995,0,Personal,24,9.7,10.1,0,Owned,1,Tier-2,Post-Graduate,Widowed,118,38.72,REJECTED,88.35,1.59
38,704755,547,Salaried,2927640,15813,Business,120,2.4,13.9,2,Rented,3,Tier-1,Post-Graduate,Married,201,28.08,REJECTED,94.19,4.15
49,920931,755,Self-Employed,2704748,24692,Personal,12,6.0,6.0,1,Family-Owned,4,Tier-1,Graduate,Married,202,64.7,MANUAL_REVIEW,342.84,2.94
29,1264533,610,Salaried,3096591,0,Personal,36,2.3,2.3,0,Family-Owned,2,Tier-3,Post-Graduate,Single,23,40.46,REJECTED,95.51,2.45
26,2128199,696,Salaried,10000000,0,Home,240,3.3,3.3,0,Owned,2,Metro,Graduate,Married,174,56.46,MANUAL_REVIEW,56.29,4.7
29,367394,591,Salaried,1863362,5016,Home,360,3.4,4.6,3,Rented,5,Tier-1,High-School,Single,234,31.22,REJECTED,72.06,5.07
44,1328993,769,Self-Employed,6702421,24212,Business,120,9.7,17.6,2,Company-Provided,1,Metro,High-School,Married,186,62.0,MANUAL_REVIEW,103.52,5.04
38,1597566,773,Salaried,6224261,45347,Business,84,1.1,12.4,1,Owned,4,Tier-1,Post-Graduate,Single,33,59.28,MANUAL_REVIEW,112.89,3.9
29,493609,664,Self-Employed,951496,15352,Education,120,5.7,5.7,3,Family-Owned,2,Metro,Graduate,Married,150,56.44,MANUAL_REVIEW,68.53,1.93
40,2265128,743,Salaried,4584633,0,Personal,12,6.8,16.7,0,Owned,0,Tier-2,Post-Graduate,Single,21,63.8,MANUAL_REVIEW,214.1,2.02
35,624496,635,Government,2476582,8741,Education,60,10.7,10.7,1,Family-Owned,1,Tier-2,Post-Graduate,Married,214,50.44,MANUAL_REVIEW,119.08,3.97
44,801720,596,Salaried,1082889,22582,Personal,60,5.6,5.6,2,Rented,2,Metro,Graduate,Married,116,39.32,REJECTED,68.64,1.35
27,1236743,713,Government,5809772,13662,Home,360,5.2,5.2,4,Rented,4,Tier-3,High-School,Married,63,64.24,MANUAL_REVIEW,64.82,4.7
31,480782,590,Salaried,1695442,9123,Business,120,3.4,3.4,1,Company-Provided,0,Metro,Post-Graduate,Single,160,31.88,REJECTED,79.87,3.53
31,1221959,700,Salaried,3131361,38859,Personal,36,7.2,9.1,2,Company-Provided,2,Tier-3,Graduate,Married,160,61.12,MANUAL_REVIEW,138.11,2.56
21,1264403,767,Salaried,2493418,40412,Personal,60,0.0,0.0,3,Owned,1,Metro,High-School,Single,134,60.4,MANUAL_REVIEW,89.22,1.97
37,786537,594,Freelancer,4478048,0,Home,300,1.2,1.2,0,Rented,1,Tier-1,High-School,Married,132,23.14,REJECTED,64.51,5.69
37,1394240,679,Salaried,3725351,0,Personal,36,3.4,12.3,0,Rented,0,Tier-2,High-School,Married,178,52.76,MANUAL_REVIEW,104.21,2.67
35,1036837,750,Self-Employed,5269656,0,Home,360,7.0,7.0,0,Owned,3,Tier-2,High-School,Married,124,65.3,MANUAL_REVIEW,55.79,5.08
32,930320,755,Salaried,2138070,14652,Education,84,5.8,10.7,2,Rented,1,Tier-1,Graduate,Widowed,160,73.14,APPROVED,65.4,2.3
21,1451173,738,Salaried,2040548,19091,Education,60,0.0,0.0,1,Company-Provided,1,Tier-2,Graduate,Married,40,61.0,MANUAL_REVIEW,52.05,1.41
30,983845,771,Self-Employed,1508183,0,Education,120,0.6,0.6,0,Rented,1,Tier-2,Graduate,Single,170,79.52,APPROVED,24.82,1.53
31,990094,657,Self-Employed,3917918,11950,Home,360,0.8,2.9,1,Company-Provided,2,Tier-3,Post-Graduate,Married,53,48.88,MANUAL_REVIEW,57.92,3.96
26,422773,688,Self-Employed,459032,8605,Medical,24,2.2,2.2,1,Owned,1,Metro,Graduate,Single,183,50.14,MANUAL_REVIEW,84.85,1.09
33,1119289,533,Salaried,2985634,11903,Education,84,0.7,7.1,2,Owned,0,Metro,Post-Graduate,Married,131,35.82,REJECTED,66.73,2.67
39,355663,645,Salaried,320652,6136,Personal,24,2.7,2.7,2,Rented,1,Tier-3,Post-Graduate,Single,39,43.14,MANUAL_REVIEW,70.88,0.9
53,580210,731,Salaried,753610,0,Personal,60,6.8,16.5,0,Rented,1,Metro,Graduate,Widowed,198,76.9,APPROVED,33.5,1.3
36,562453,585,Salaried,713676,4926,Personal,48,6.7,7.3,1,Owned,0,Metro,Post-Graduate,Single,160,48.26,MANUAL_REVIEW,49.49,1.27
37,491807,793,Salaried,704281,0,Personal,24,6.8,13.4,0,Rented,0,Metro,High-School,Single,125,70.58,MANUAL_REVIEW,79.69,1.43
34,1457012,744,Self-Employed,4548681,21590,Business,180,3.9,3.9,2,Family-Owned,5,Tier-2,Graduate,Married,221,59.38,MANUAL_REVIEW,59.19,3.12
21,1962042,850,Self-Employed,6424555,60509,Business,60,0.0,0.0,2,Family-Owned,4,Tier-2,Post-Graduate,Married,154,51.0,MANUAL_REVIEW,121.46,3.27
34,300000,651,Salaried,1186459,5852,Education,84,4.3,5.1,2,Owned,2,Metro,Professional,Married,45,52.32,MANUAL_REVIEW,103.43,3.95
35,424935,759,Government,913157,0,Personal,48,8.7,8.9,0,Owned,1,Metro,Post-Graduate,Married,87,72.38,APPROVED,66.02,2.15
59,461169,756,Self-Employed,3845620,4693,Home,180,3.6,31.8,1,Owned,1,Tier-1,Graduate,Single,74,60.5,MANUAL_REVIEW,122.82,8.34
33,804611,631,Salaried,7028601,19716,Home,180,3.7,8.1,2,Rented,1,Metro,Graduate,Married,190,38.62,REJECTED,145.28,8.74
38,1682134,636,Salaried,3872489,54205,Personal,36,7.0,7.9,2,Company-Provided,1,Metro,Graduate,Married,174,45.48,MANUAL_REVIEW,128.46,2.3
34,855264,680,Government,1356202,17035,Medical,12,8.3,8.3,3,Owned,2,Tier-2,Post-Graduate,Single,215,60.96,MANUAL_REVIEW,191.64,1.59
23,522273,574,Salaried,1163517,0,Personal,12,0.6,0.6,0,Rented,1,Tier-1,Graduate,Married,112,27.42,REJECTED,235.65,2.23
46,2387055,740,Freelancer,5403538,0,Personal,48,3.6,3.6,0,Company-Provided,4,Metro,Graduate,Married,196,53.82,MANUAL_REVIEW,69.55,2.26
42,300000,730,Government,2849744,7182,Home,180,6.7,6.7,1,Owned,1,Tier-1,Post-Graduate,Married,178,59.54,MANUAL_REVIEW,154.73,9.5
42,2409928,764,Salaried,3108929,75476,Personal,60,1.2,9.3,1,Rented,0,Tier-3,Graduate,Single,12,64.46,MANUAL_REVIEW,70.86,1.29
25,547242,679,Salaried,1077653,0,Education,60,1.8,1.8,0,Owned,2,Metro,Post-Graduate,Married,23,55.76,MANUAL_REVIEW,50.79,1.97
49,685997,642,Self-Employed,1879362,12904,Business,120,4.6,20.7,1,Company-Provided,5,Metro,Post-Graduate,Single,222,45.5,MANUAL_REVIEW,66.93,2.74
21,584722,675,Self-Employed,5181380,14587,Home,180,0.0,0.0,2,Owned,3,Tier-1,Post-Graduate,Married,37,36.3,REJECTED,147.48,8.86
40,2190600,614,Salaried,4035931,42390,Personal,60,5.5,7.4,1,Rented,0,Metro,High-School,Married,70,47.68,MANUAL_REVIEW,70.74,1.84
56,733955,747,Government,1372456,0,Medical,36,3.0,3.0,0,Owned,2,Tier-2,High-School,Single,115,66.3,MANUAL_REVIEW,72.93,1.87
25,1145930,622,Salaried,1348010,37112,Medical,24,0.1,0.1,4,Owned,2,Tier-3,Professional,Married,196,39.42,REJECTED,104.33,1.18
29,1081029,751,Salaried,1318487,22624,Medical,60,0.0,0.0,1,Company-Provided,3,Metro,High-School,Divorced,15,64.6,MANUAL_REVIEW,56.57,1.22
35,411181,674,Salaried,1009613,12530,Education,120,6.7,13.1,1,Rented,1,Tier-2,Graduate,Married,229,57.92,MANUAL_REVIEW,76.33,2.46
29,381043,612,Government,555366,8006,Medical,36,8.0,8.0,4,Rented,1,Tier-3,Graduate,Married,14,51.1,MANUAL_REVIEW,82.06,1.46
21,800838,555,Government,5022977,0,Business,84,0.0,0.0,0,Rented,1,Tier-3,Post-Graduate,Divorced,217,18.4,REJECTED,126.9,6.27
35,341927,801,Salaried,373319,8562,Medical,12,5.0,5.0,1,Owned,1,Tier-2,High-School,Single,158,70.6,MANUAL_REVIEW,145.54,1.09
24,690843,755,Salaried,1023989,12426,Medical,60,2.0,2.0,2,Owned,0,Metro,High-School,Married,225,70.6,MANUAL_REVIEW,59.81,1.48
39,997763,758,Self-Employed,883573,31202,Medical,36,3.2,3.2,1,Rented,2,Tier-2,Graduate,Married,60,68.84,MANUAL_REVIEW,72.07,0.89
25,1747427,763,Government,10000000,42823,Home,360,2.4,2.4,2,Family-Owned,2,Tier-2,Graduate,Single,149,63.58,MANUAL_REVIEW,92.22,5.72
50,995873,698,Salaried,6797923,8794,Home,300,5.2,23.6,3,Rented,3,Tier-2,Post-Graduate,Married,97,48.5,MANUAL_REVIEW,87.94,6.83
27,1535774,653,Freelancer,4248416,0,Personal,24,1.2,5.1,0,Rented,2,Tier-3,Post-Graduate,Single,153,42.52,MANUAL_REVIEW,153.95,2.77
31,661404,671,Salaried,1839546,0,Personal,36,2.9,7.1,0,Rented,2,Tier-2,Graduate,Divorced,131,48.82,MANUAL_REVIEW,108.48,2.78
43,545829,647,Salaried,1399609,4762,Education,60,1.8,1.8,1,Owned,1,Tier-1,Post-Graduate,Married,60,42.66,MANUAL_REVIEW,76.61,2.56
22,3510337,762,Salaried,3340643,88593,Personal,12,0.3,0.3,1,Rented,2,Tier-1,Post-Graduate,Married,96,62.86,MANUAL_REVIEW,130.95,0.95
37,570144,617,Salaried,5081324,0,Home,300,7.5,15.5,0,Rented,3,Tier-1,Graduate,Married,31,40.2,REJECTED,100.98,8.91
48,300000,738,Salaried,901307,0,Home,180,5.2,5.2,0,Rented,1,Metro,High-School,Married,95,79.64,APPROVED,39.85,3.0
21,300000,589,Salaried,761733,3357,Education,120,0.0,0.0,3,Owned,2,Tier-2,Post-Graduate,Married,223,35.5,REJECTED,54.54,2.54
36,1231150,620,Self-Employed,3864002,32302,Home,300,5.0,5.0,1,Owned,3,Metro,Post-Graduate,Married,27,46.4,MANUAL_REVIEW,67.04,3.14
37,689441,654,Salaried,2827469,0,Business,180,3.3,3.3,0,Owned,2,Metro,Post-Graduate,Single,107,47.66,MANUAL_REVIEW,54.4,4.1
42,757966,828,Salaried,1130483,12418,Medical,60,3.8,6.8,3,Family-Owned,2,Tier-1,Graduate,Single,12,73.06,APPROVED,58.13,1.49
22,870474,601,Salaried,1461980,18981,Personal,12,0.2,0.2,2,Owned,1,Tier-3,Graduate,Single,201,36.84,REJECTED,203.82,1.68
21,937611,792,Salaried,2668883,11901,Personal,48,0.0,0.0,1,Rented,2,Tier-1,Graduate,Single,105,57.6,MANUAL_REVIEW,102.69,2.85
40,779365,504,Salaried,5833816,11292,Home,180,1.6,3.3,2,Family-Owned,0,Metro,Graduate,Widowed,185,26.56,REJECTED,116.68,7.49
37,3453339,613,Salaried,7796023,66498,Personal,12,5.1,10.0,1,Rented,1,Tier-3,Graduate,Married,126,45.6,MANUAL_REVIEW,261.91,2.26
37,1375243,824,Salaried,5797741,34340,Business,60,3.6,15.1,2,Owned,4,Tier-2,Post-Graduate,Married,157,61.6,MANUAL_REVIEW,138.7,4.22
38,1613755,735,Salaried,1582999,19730,Personal,12,2.9,16.2,1,Owned,2,Tier-1,Graduate,Married,172,63.5,MANUAL_REVIEW,118.43,0.98
28,1391806,812,Self-Employed,10000000,0,Home,300,4.2,4.2,0,Rented,2,Tier-2,High-School,Married,163,58.44,MANUAL_REVIEW,81.41,7.18
37,1076166,771,Salaried,6468064,0,Business,180,2.9,4.3,0,Rented,2,Tier-1,Post-Graduate,Married,170,53.16,MANUAL_REVIEW,79.73,6.01
37,850782,730,Self-Employed,1427372,0,Vehicle,36,4.0,4.0,0,Rented,0,Tier-2,Graduate,Married,42,61.4,MANUAL_REVIEW,65.44,1.68
27,943590,598,Salaried,5580274,14498,Home,300,1.8,4.5,1,Company-Provided,2,Metro,Graduate,Married,142,28.3,REJECTED,85.44,5.91
53,1307583,829,Salaried,8850008,17662,Home,360,0.9,31.4,1,Owned,0,Metro,High-School,Married,92,56.9,MANUAL_REVIEW,90.5,6.77
39,671502,727,Self-Employed,2209968,0,Education,120,1.4,1.4,0,Rented,3,Tier-1,Graduate,Married,226,55.58,MANUAL_REVIEW,53.29,3.29
23,1233135,605,Salaried,9852129,36870,Home,240,1.6,1.6,3,Rented,1,Tier-1,Graduate,Married,186,32.62,REJECTED,131.6,7.99
41,1286414,625,Salaried,1957090,31560,Medical,48,2.5,2.5,2,Family-Owned,1,Tier-2,High-School,Married,132,44.3,MANUAL_REVIEW,76.18,1.52
25,3151883,566,Government,5879170,63181,Medical,36,1.2,1.2,1,Rented,2,Tier-2,High-School,Married,176,37.14,REJECTED,96.81,1.87
42,1031543,778,Salaried,2249553,33016,Personal,48,2.4,11.9,4,Rented,1,Tier-3,Graduate,Single,202,64.68,MANUAL_REVIEW,105.41,2.18
46,2787900,574,Salaried,6485145,74517,Business,60,1.7,7.4,3,Rented,2,Tier-2,Post-Graduate,Single,102,31.28,REJECTED,92.07,2.33
26,546006,786,Freelancer,1200085,0,Personal,24,3.3,3.3,0,Owned,2,Tier-1,Professional,Divorced,109,60.06,MANUAL_REVIEW,122.32,2.2
44,1367019,766,Salaried,3985087,43251,Education,84,3.0,9.6,1,Rented,2,Tier-2,High-School,Single,104,71.72,APPROVED,96.95,2.92
39,1479568,779,Self-Employed,1547977,34434,Personal,36,3.9,3.9,2,Owned,4,Tier-1,Post-Graduate,Married,82,66.18,MANUAL_REVIEW,68.73,1.05
43,519722,703,Salaried,2336452,0,Business,120,4.4,11.7,0,Family-Owned,1,Tier-3,Graduate,Married,220,52.84,MANUAL_REVIEW,72.79,4.5
53,503632,613,Salaried,2854714,0,Business,120,0.8,0.8,0,Family-Owned,1,Tier-2,High-School,Married,116,25.36,REJECTED,91.78,5.67
32,1607881,686,Salaried,10000000,0,Home,240,3.0,8.2,0,Rented,3,Metro,Graduate,Married,54,46.94,MANUAL_REVIEW,74.51,6.22
27,615927,553,Self-Employed,1709446,0,Personal,48,3.1,3.1,0,Owned,3,Metro,Graduate,Married,159,33.72,REJECTED,85.27,2.78
26,489816,654,Self-Employed,1741720,5772,Education,120,4.7,4.7,4,Rented,5,Tier-1,Post-Graduate,Married,39,48.24,MANUAL_REVIEW,71.72,3.56
